Layer,Weights
conv2d_1,0.0969365
conv2d_1,-0.11900284
conv2d_1,-0.21554685
conv2d_1,0.1232347
conv2d_1,0.1756268
conv2d_1,-0.2230848
conv2d_1,-0.16532381
conv2d_1,-0.03874189
conv2d_1,0.022689914
conv2d_1,0.1415524
conv2d_1,-0.2701334
conv2d_1,-0.030349152
conv2d_1,0.07830082
conv2d_1,-0.016583275
conv2d_1,0.0214114
conv2d_1,0.054244205
conv2d_1,0.053995725
conv2d_1,-0.003512842
conv2d_1,0.057897042
conv2d_1,0.13664635
conv2d_1,0.08965704
conv2d_1,0.055324532
conv2d_1,-0.0031422789
conv2d_1,0.027538842
conv2d_1,0.057238802
conv2d_1,-0.22152197
conv2d_1,-0.0827625
conv2d_1,-0.05140193
conv2d_1,0.014422688
conv2d_1,-0.14475365
conv2d_1,-0.13997395
conv2d_1,-0.006545237
conv2d_1,-0.082670994
conv2d_1,-0.069730334
conv2d_1,-0.09001915
conv2d_1,0.0618812
conv2d_1,-0.08940339
conv2d_1,0.09100041
conv2d_1,0.121129744
conv2d_1,0.06684239
conv2d_1,-0.074062325
conv2d_1,-0.0673662
conv2d_1,-0.06572492
conv2d_1,0.123208374
conv2d_1,-0.038278718
conv2d_1,-0.008371902
conv2d_1,0.07425116
conv2d_1,0.044251624
conv2d_1,0.019530224
conv2d_1,-0.06051069
conv2d_1,-0.024569131
conv2d_1,0.06840686
conv2d_1,0.029439362
conv2d_1,0.025872936
conv2d_1,-0.061579622
conv2d_1,-0.09301265
conv2d_1,-0.047536105
conv2d_1,-0.056713283
conv2d_1,-0.052822024
conv2d_1,0.01877549
conv2d_1,0.03329996
conv2d_1,0.109670505
conv2d_1,-0.039460283
conv2d_1,-0.21911918
conv2d_1,0.12196664
conv2d_1,-0.05261193
conv2d_1,-0.21356781
conv2d_1,-0.15502624
conv2d_1,0.04358015
conv2d_1,0.025401114
conv2d_1,-0.1208836
conv2d_1,-0.023672411
conv2d_1,-0.061070513
conv2d_1,-0.12301408
conv2d_1,-0.11656081
conv2d_1,0.09239099
conv2d_1,0.030510074
conv2d_1,-0.021461762
conv2d_1,-0.05101273
conv2d_1,-0.08707915
conv2d_1,0.011194444
conv2d_1,0.04409915
conv2d_1,-0.042671617
conv2d_1,-0.07926793
conv2d_1,-0.060303435
conv2d_1,0.11245362
conv2d_1,-0.046436436
conv2d_1,0.103363454
conv2d_1,-0.053741384
conv2d_1,0.022155985
conv2d_1,-0.044618733
conv2d_1,-0.065983
conv2d_1,-0.043591794
conv2d_1,0.12008894
conv2d_1,0.14364825
conv2d_1,0.17467086
conv2d_1,-0.042511713
